EFF_DATE,NAV_ID,NAV_TYPE,STATE_CODE,CITY,COUNTRY_CODE,NAME,STATE_NAME,REGION_CODE,LAT_HEMIS,LAT_DEG,LAT_MIN,LAT_SEC,LAT_DECIMAL,LONG_HEMIS,LONG_DEG,LONG_MIN,LONG_SEC,LONG_DECIMAL,ELEV,MAG_VARN,MAG_VARN_HEMIS,MAG_VARN_YEAR,ALT_CODE
2026-01-22,MT,NDB,WI,MANITOWOC,US,MAWOC,WISCONSIN,AGL,N,44,11,59.002,44.19972277,W,87,42,7.997,-87.70222138,673.8,2,W,1985,NA
2026-01-22,MTC,TACAN,MI,MOUNT CLEMENS,US,SELFRIDGE,MICHIGAN,AGL,N,42,36,46.398,42.61288833,W,82,49,54.3755,-82.83177097,574.8,6,W,1985,NA
2026-01-22,MTJ,VOR/DME,CO,MONTROSE,US,MONTROSE,COLORADO,ANM,N,38,30,23.1718,38.50643661,W,107,53,57.4388,-107.89928855,5713,12,E,1995,VH
2026-01-22,MTO,DME,IL,MATTOON/CHARLESTON,US,MATTOON,ILLINOIS,AGL,N,39,28,40.41,39.47789166,W,88,17,10.35,-88.28620833,714.4,NA,NA,NA,NA
2026-01-22,MTQ,NDB,MS,GREENVILLE,US,METCALF,MISSISSIPPI,ASO,N,33,25,31.218,33.42533833,W,90,58,55.574,-90.98210388,120,1,W,2020,NA
2026-01-22,MTU,VOR/DME,UT,MYTON,US,MYTON,UTAH,ANM,N,40,8,56.7447,40.14909575,W,110,7,37.3015,-110.12702819,5401.4,14,E,1980,VH
2026-01-22,MTW,DME,WI,MANITOWOC,US,MANITOWOC,WISCONSIN,AGL,N,44,7,42.5951,44.12849863,W,87,40,47.7054,-87.67991816,649.6,NA,NA,NA,NA
2026-01-22,MUE,VOR/DME,HI,KAMUELA,US,KAMUELA,HAWAII,AWP,N,19,59,53,19.99805555,W,155,40,11.5,-155.66986111,2670,11,E,1985,H
2026-01-22,MUO,TACAN,ID,MOUNTAIN HOME,US,MOUNTAIN HOME,IDAHO,ANM,N,43,2,25.76,43.04048888,W,115,52,28.57,-115.87460277,3000.9,13,E,2015,NA
2026-01-22,MVA,VORTAC,NV,MINA,US,MINA,NEVADA,AWP,N,38,33,55.078,38.56529944,W,118,1,58.272,-118.03285333,7860,17,E,1965,VH
2026-01-22,MVC,VORTAC,AL,MONROEVILLE,US,MONROEVILLE,ALABAMA,ASO,N,31,27,33.5718,31.4593255,W,87,21,9.1374,-87.35253816,419.8,4,E,1965,L
2026-01-22,MVE,VOR/DME,MN,MONTEVIDEO,US,MONTEVIDEO,MINNESOTA,AGL,N,44,58,21.6319,44.97267552,W,95,42,43.8924,-95.71219233,1036.8,5,E,1995,T
2026-01-22,MVY,VOR/DME,MA,VINEYARD HAVEN,US,MARTHAS VINEYARD,MASSACHUSETTS,ANE,N,41,23,46.3729,41.39621469,W,70,36,45.7772,-70.61271588,61.9,15,W,1980,L
2026-01-22,MW,NDB,IL,MARION,US,JONNY,ILLINOIS,AGL,N,37,50,20.6999,37.8390833,W,88,58,14.9474,-88.97081872,389.5,1,E,1985,NA
2026-01-22,MW,NDB,OH,MIDDLETOWN,US,ONIDA,OHIO,AGL,N,39,34,41.4668,39.57818522,W,84,19,24.7121,-84.32353113,684.4,4,W,1985,NA
